test_id,reset_model,early_dma_result,classification,result
ORD-A,RST-A,ALLOW,RESET_ASSUMPTION_DEPENDENCY,PASS
ORD-A,RST-B,DENY,SIMULATION_EVIDENCE,PASS
ORD-B,RST-A,ALLOW,RESET_ASSUMPTION_DEPENDENCY,PASS
ORD-B,RST-B,DENY,SIMULATION_EVIDENCE,PASS
ORD-C,RST-A,ALLOW,RESET_ASSUMPTION_DEPENDENCY,PASS
ORD-C,RST-B,DENY,SIMULATION_EVIDENCE,PASS
ORD-D,RST-A,ALLOW,RESET_ASSUMPTION_DEPENDENCY,PASS
ORD-D,RST-B,DENY,SIMULATION_EVIDENCE,PASS
ORD-E,RST-A,ALLOW,RESET_ASSUMPTION_DEPENDENCY,PASS
ORD-E,RST-B,DENY,SIMULATION_EVIDENCE,PASS
ORD-F,RST-A,ALLOW,RESET_ASSUMPTION_DEPENDENCY,PASS
ORD-F,RST-B,DENY,SIMULATION_EVIDENCE,PASS
ORD-G,RST-A,ALLOW,RESET_ASSUMPTION_DEPENDENCY,PASS
ORD-G,RST-B,DENY,SIMULATION_EVIDENCE,PASS
ORD-H,RST-A,ALLOW,RESET_ASSUMPTION_DEPENDENCY,PASS
ORD-H,RST-B,DENY,SIMULATION_EVIDENCE,PASS
