variant,period_ns,setup_wns_ns,result,route_result
J0,9.0,-0.0986811,FAIL,PASS
J0,9.5,0.102833,PASS,PASS
J0,10.0,0.0818838,PASS,PASS
J1,10.0,,FAIL,GRT_FAIL
J1,15.0,,FAIL,GRT_FAIL
J1,16.0,-0.137862,FAIL,PASS
J1,16.5,0.0653468,PASS,PASS
J1,17.0,0.116481,PASS,PASS
J1,18.0,1.25182,PASS,PASS
J1,20.0,2.12892,PASS,PASS
J2,10.0,-1.27845,FAIL,PASS
J2,12.5,-0.000741629,FAIL,PASS
J2,12.75,0.0851887,PASS,PASS
J2,13.0,-0.112863,FAIL,PASS
J2,14.0,0.00473666,PASS,PASS
J3,10.0,,FAIL,GRT_FAIL
J3,13.0,0.0673328,PASS,PASS
J3,15.0,0.118358,PASS,PASS
