figure_id,filename,source_file,source_columns,source_sha256,generation_script,evidence_level,notes
Q1,Q1_postroute_area.pdf,results/tables/m7_journal_ppa_main.csv,"variant,description,clock_period_ns,cells,post_route_area,area_overhead_vs_J0_pct,core_area,setup_wns_ns,hold_wns_ns,route_drc,gds",3933ee9e12a732604ddc0218b870c5ec3e279c70fb68e83d00da9ce382df3af6,scripts/figures/generate_journal_figures.py,physical_ppa_20ns,font=STIXGeneral; common 20 ns only
Q2,Q2_synth_cells.pdf,results/tables/m7_journal_ppa_main.csv,"variant,description,clock_period_ns,cells,post_route_area,area_overhead_vs_J0_pct,core_area,setup_wns_ns,hold_wns_ns,route_drc,gds",3933ee9e12a732604ddc0218b870c5ec3e279c70fb68e83d00da9ce382df3af6,scripts/figures/generate_journal_figures.py,physical_ppa_20ns,J3 vs J2 cell delta is mapping/optimization variation
Q3,Q3_incremental_area_overhead.pdf,results/tables/m7_full_ibex_ppa_20ns_overhead.csv,"comparison,metric,baseline,variant,raw_delta,pct_delta,notes",b3d7ed156494219cc5416282ce0ad0a268520f694484c07b1b68b9272ede1fa3,scripts/figures/generate_journal_figures.py,physical_ppa_20ns,postroute_stdcell_area_um2 percentages only
Q4,Q4_demonstrated_fmax.pdf,results/tables/m7_journal_timing_summary.csv,"variant,result_10ns,shortest_demonstrated_pass_ns,demonstrated_fmax_mhz,critical_path_category",7e00b893f78569fa6cdb7a1c1a4a7dbe9605946ed47201b746b1704b80a3e3cf,scripts/figures/generate_journal_figures.py,physical_fmax,shortest demonstrated PASS; 10 ns status secondary
Q5,Q5_fmax_sweep.pdf,results/tables/m7_full_ibex_fmax_sweep.csv,"variant,period_ns,setup_wns_ns,setup_tns_ns,hold_wns_ns,hold_tns_ns,route_result,route_drc,gds,timing_pass,result,notes",82be06dd1150006bf84a255806a24bedce1b9714d79eedb38ba3771fa83ce7b0,scripts/figures/generate_journal_figures.py,physical_fmax_sweep,no interpolation of untested periods
Q6,Q6_critical_paths.pdf,results/tables/m7_critical_paths.csv,"variant,period_ns,flow_variant,notes,path_group,slack_ns,data_arrival_ns,data_required_ns,startpoint,endpoint,critical_path_category,through_pmp,through_iopmp,through_dma,through_reset_sec,through_alu_adder,ff_q_delay_ns,hierarchy_hint,cell_types,report",1d6fe0082fbb6116ce08e3d72fa55a75fdcd0a1c1b3624cc07bb00d56341ffbd,scripts/figures/generate_journal_figures.py,physical_timing_path,CAUSE_NOT_DEFINITIVELY_ESTABLISHED; PMP not on named path
Q7,Q7_cpu_latency.pdf,results/tables/m7_realcore_performance.csv,"test_id,metric,cycles,source,classification,notes",d92c2929e4655390aa8230ffd34157e900f56fc78791973a504b037711b6ac33,scripts/figures/generate_journal_figures.py,SIMULATION_EVIDENCE,CPU only; DMA excluded
Q8,Q8_dma_latency.pdf,results/tables/m7_realcore_performance.csv,"test_id,metric,cycles,source,classification,notes",d92c2929e4655390aa8230ffd34157e900f56fc78791973a504b037711b6ac33,scripts/figures/generate_journal_figures.py,SIMULATION_EVIDENCE,distinct DMA landmarks; not a single latency
Q9,Q9_dma_throughput.pdf,results/tables/m7_dma_throughput.csv,"n,first_request_cycle,last_completion_cycle,total_cycles,transfers_per_cycle,cycles_per_transfer,classification,notes",382f7a96c7b0182ea920d2825efddef42fdf172f5e17498dc69dac109c0f6e20,scripts/figures/generate_journal_figures.py,MEASURED_simulation,y-axis starts at 0; single-outstanding DMA
Q10,Q10_dma_random_distribution.pdf,results/m7/performance/raw_samples.csv,"seed,metric,cycles",90acdb176a67b5747059237f3ce5456559796057dec7e8e2956a970e90ab644b,scripts/figures/generate_journal_figures.py,SIMULATION_EVIDENCE,constant samples; not a boxplot
Q11,Q11_reset_recovery_latency.pdf,results/tables/m7_realcore_reset_latency.csv,"test_id,metric,cycles,reset_model",5774971b4880bc17f62a217678568e4e3b10c2fc0ae60ef367d6ba33983e1591,scripts/figures/generate_journal_figures.py,SIMULATION_EVIDENCE,RST-B raw samples; range summary not a fabricated KDE
Q12,Q12_release_order_summary.pdf,results/tables/m7_realcore_release_order_matrix.csv,"test_id,reset_model,cpu_release_cycle,dma_release_cycle,iopmp_release_cycle,security_config_release_cycle,interconnect_release_cycle,pmp_ready_cycle,iopmp_ready_cycle,secure_ready_cycle,first_dma_legal_issue_cycle,early_dma_request_cycle,early_dma_result,early_dma_commit_cycle,post_ready_unauth_dma_result,post_ready_auth_dma_result,cpu_u_access_result,cpu_mcause,memory_before,memory_after,expected,observed,classification,result,notes",b4e0fbdb58ae1324aff644ad9e4376387d0bc97ff5f566dd063f27241be25581,scripts/figures/generate_journal_figures.py,SIMULATION_EVIDENCE / RESET_ASSUMPTION_DEPENDENCY,A/D is not PASS/FAIL of RST-A reachability
Q13,Q13_release_order_random.pdf,results/tables/m7_realcore_release_order_random.csv,"seed,reset_model,cpu_release,dma_release,iopmp_release,sec_release,ic_release,early_dma_result,result,classification,observed,observed_expected_counterexample,unexpected_failure,replay",cdad18abf22d1b9f468884239c226e8952dfa91788557088e4ca6678bd966011,scripts/figures/generate_journal_figures.py,SIMULATION_EVIDENCE / RESET_ASSUMPTION_DEPENDENCY,no seed-latency join; early-access vs seed
Q14,Q14_evidence_levels.pdf,results/tables/m7_reset_evidence_levels.csv,"evidence_level,artifact,claim_class,notes",a41a176f19a1d0c0b4fbce1d4fd2ac193a43192f5c9d475ff7620d8d7cc3905c,scripts/figures/generate_journal_figures.py,evidence_layer_summary,not a claim×layer matrix; CSV has six layers only
