property,method,depth,result
SP-02,bmc,8,UNKNOWN
SP-04,bmc,8,UNKNOWN
SP-02,bmc,16,UNKNOWN
SP-04,bmc,16,UNKNOWN
SP-02,bmc,32,UNKNOWN
SP-04,bmc,32,UNKNOWN
SP-02,bmc,64,UNKNOWN
SP-04,bmc,64,UNKNOWN
SP-02,bmc,8,UNKNOWN
SP-04,bmc,8,UNKNOWN
SP-02,bmc,16,UNKNOWN
SP-04,bmc,16,UNKNOWN
SP-02,bmc,32,UNKNOWN
SP-04,bmc,32,UNKNOWN
SP-02,bmc,64,UNKNOWN
SP-04,bmc,64,UNKNOWN
SP-02,bmc,8,UNKNOWN
SP-04,bmc,8,UNKNOWN
SP-02,bmc,16,UNKNOWN
SP-04,bmc,16,UNKNOWN
SP-02,bmc,32,UNKNOWN
SP-04,bmc,32,UNKNOWN
SP-02,bmc,64,UNKNOWN
SP-04,bmc,64,UNKNOWN
SP-02,bmc,8,UNKNOWN
SP-04,bmc,8,UNKNOWN
SP-02,bmc,16,UNKNOWN
SP-04,bmc,16,UNKNOWN
SP-02,bmc,32,UNKNOWN
SP-04,bmc,32,UNKNOWN
SP-02,bmc,64,UNKNOWN
SP-04,bmc,64,UNKNOWN
SP-02,bmc,8,UNKNOWN
SP-04,bmc,8,UNKNOWN
SP-02,bmc,16,UNKNOWN
SP-04,bmc,16,UNKNOWN
SP-02,bmc,32,UNKNOWN
SP-04,bmc,32,UNKNOWN
SP-02,bmc,64,UNKNOWN
SP-04,bmc,64,UNKNOWN
SP-02,bmc,8,UNKNOWN
SP-04,bmc,8,UNKNOWN
SP-02,bmc,16,UNKNOWN
SP-04,bmc,16,UNKNOWN
SP-02,bmc,32,UNKNOWN
SP-04,bmc,32,UNKNOWN
SP-02,bmc,64,UNKNOWN
SP-04,bmc,64,UNKNOWN
