property_id,variant,result,method,depth,solver,task,commit
M57-FP-01,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-02,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-03,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-04,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-06,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-15,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-01,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-02,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-03,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-04,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-06,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-15,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-01,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-02,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-03,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-04,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-06,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-15,proper,INCONCLUSIVE,bmc,16,z3,m57_proper_bmc16,096a984
M57-FP-01,proper,INCONCLUSIVE,bmc,12,z3,m57_proper_bmc12,096a984
M57-FP-02,proper,INCONCLUSIVE,bmc,12,z3,m57_proper_bmc12,096a984
M57-FP-03,proper,INCONCLUSIVE,bmc,12,z3,m57_proper_bmc12,096a984
M57-FP-04,proper,INCONCLUSIVE,bmc,12,z3,m57_proper_bmc12,096a984
M57-FP-06,proper,INCONCLUSIVE,bmc,12,z3,m57_proper_bmc12,096a984
M57-FP-15,proper,INCONCLUSIVE,bmc,12,z3,m57_proper_bmc12,096a984
