SBY 16:15:14 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] Removing directory '/home/mmr/ricv_paper/results/formal/sp08_rstb_prove'.
SBY 16:15:14 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] Copy '/home/mmr/ricv_paper/formal/sby/../../rtl/common/bus_pkg.vh' to '/home/mmr/ricv_paper/results/formal/sp08_rstb_prove/src/bus_pkg.vh'.
SBY 16:15:14 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] Copy '/home/mmr/ricv_paper/formal/sby/../../rtl/soc/security_config.v' to '/home/mmr/ricv_paper/results/formal/sp08_rstb_prove/src/security_config.v'.
SBY 16:15:14 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] Copy '/home/mmr/ricv_paper/formal/sby/../../rtl/iopmp/iopmp.v' to '/home/mmr/ricv_paper/results/formal/sp08_rstb_prove/src/iopmp.v'.
SBY 16:15:14 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] Copy '/home/mmr/ricv_paper/formal/sby/../../rtl/interconnect/interconnect.v' to '/home/mmr/ricv_paper/results/formal/sp08_rstb_prove/src/interconnect.v'.
SBY 16:15:14 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] Copy '/home/mmr/ricv_paper/formal/sby/../../rtl/memory/sram.v' to '/home/mmr/ricv_paper/results/formal/sp08_rstb_prove/src/sram.v'.
SBY 16:15:14 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] Copy '/home/mmr/ricv_paper/formal/sby/../harness/formal_helpers.vh' to '/home/mmr/ricv_paper/results/formal/sp08_rstb_prove/src/formal_helpers.vh'.
SBY 16:15:14 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] Copy '/home/mmr/ricv_paper/formal/sby/../harness/formal_reset_rstb_tb.v' to '/home/mmr/ricv_paper/results/formal/sp08_rstb_prove/src/formal_reset_rstb_tb.v'.
SBY 16:15:14 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] engine_0: smtbmc z3
SBY 16:15:14 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: starting process "cd /home/mmr/ricv_paper/results/formal/sp08_rstb_prove/src; yosys -ql ../model/design.log ../model/design.ys"
SBY 16:15:14 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: formal_reset_rstb_tb.v:49: Warning: Identifier `\u_iopmp.hold_authorized' is implicitly declared.
SBY 16:15:14 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: formal_reset_rstb_tb.v:102: Warning: Identifier `\u_iopmp.hold_write' is implicitly declared.
SBY 16:15:14 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: formal_reset_rstb_tb.v:103: Warning: Identifier `\u_iopmp.hold_addr' is implicitly declared.
SBY 16:15:14 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Replacing memory \mem with list of registers. See sram.v:48
SBY 16:15:15 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Wire formal_reset_rstb_tb.\cfg_addr [31] is used but has no driver.
SBY 16:15:15 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Wire formal_reset_rstb_tb.\cfg_addr [30] is used but has no driver.
SBY 16:15:15 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Wire formal_reset_rstb_tb.\cfg_addr [29] is used but has no driver.
SBY 16:15:15 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Wire formal_reset_rstb_tb.\cfg_addr [28] is used but has no driver.
SBY 16:15:15 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Wire formal_reset_rstb_tb.\cfg_addr [27] is used but has no driver.
SBY 16:15:15 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Wire formal_reset_rstb_tb.\cfg_addr [26] is used but has no driver.
SBY 16:15:15 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Wire formal_reset_rstb_tb.\cfg_addr [25] is used but has no driver.
SBY 16:15:15 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Wire formal_reset_rstb_tb.\cfg_addr [24] is used but has no driver.
SBY 16:15:15 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Wire formal_reset_rstb_tb.\cfg_addr [23] is used but has no driver.
SBY 16:15:15 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Wire formal_reset_rstb_tb.\cfg_addr [22] is used but has no driver.
SBY 16:15:15 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Wire formal_reset_rstb_tb.\cfg_addr [21] is used but has no driver.
SBY 16:15:15 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Wire formal_reset_rstb_tb.\cfg_addr [20] is used but has no driver.
SBY 16:15:15 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Wire formal_reset_rstb_tb.\cfg_addr [19] is used but has no driver.
SBY 16:15:15 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Wire formal_reset_rstb_tb.\cfg_addr [18] is used but has no driver.
SBY 16:15:15 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Wire formal_reset_rstb_tb.\cfg_addr [17] is used but has no driver.
SBY 16:15:15 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Wire formal_reset_rstb_tb.\cfg_addr [16] is used but has no driver.
SBY 16:15:15 [/home/mmr/ricv_paper/results/formal/sp08_rstb_prove] base: Warning: Wire formal_reset_rstb_tb.\cfg_addr [15] is used but has no driver.
