test_id,reset_model,target_delay,admit_cycle,commit_cycle,reset_cycle,memory_before,memory_after,commit_source,cpu_mcause,observed,classification,result,notes
IF01-A,RST-B,8,29,44,28,0x5151A5A5,0x11111111,DMA,,admit=29 commit_auth=44 rst=29 peek=0x11111111 n_auth_commits=2;admit_window_zero_width_or_race,INCONCLUSIVE,INCONCLUSIVE,
IF01-B,RST-B,8,29,44,30,0x5151A5A5,0x11111111,DMA,,admit=29 commit_auth=44 rst=31 peek=0x11111111 n_auth_commits=2;ModelA_completes_after_reset;extra_commit_harness,SIMULATION_EVIDENCE,PASS,
IF01-C,RST-B,8,29,44,34,0x5151A5A5,0x11111111,DMA,,admit=29 commit_auth=44 rst=35 peek=0x11111111 n_auth_commits=2;ModelA_completes_after_reset;extra_commit_harness,SIMULATION_EVIDENCE,PASS,
IF01-D,RST-B,8,29,0,30,0x5151A5A5,0x5151A5A5,CPU,,admit=29 commit_auth=0 rst=30 peek=0x5151A5A5 n_auth_commits=0;no_auth_commit_after_reset,SIMULATION_EVIDENCE,PASS,
IF02-A,RST-B,8,0,135,122,0x5151A5A5,0xB0040004,CPU,,auth_cpu_commits=1 before_rst=0 after_rst=1 rst=123 peek=0xB0040004;ModelA_or_safe,SIMULATION_EVIDENCE,PASS,
IF02-B,RST-B,8,0,135,125,0x5151A5A5,0xB0040004,CPU,,auth_cpu_commits=1 before_rst=0 after_rst=1 rst=126 peek=0xB0040004;ModelA_or_safe,SIMULATION_EVIDENCE,PASS,
IF02-C,RST-B,8,0,135,136,0x5151A5A5,0xB0040004,CPU,,auth_cpu_commits=1 before_rst=1 after_rst=0 rst=137 peek=0xB0040004;ModelA_or_safe,SIMULATION_EVIDENCE,PASS,
IF03-A,RST-A,0,106,111,0,0x5151A5A5,0xDADA0120,DMA,,err=0 peek=0xDADA0120 model=RST-A,RESET_ASSUMPTION_DEPENDENCY,PASS,
IF03-A,RST-B,0,0,0,0,0x5151A5A5,0x5151A5A5,CPU,,err=1 peek=0x5151A5A5 model=RST-B,SIMULATION_EVIDENCE,PASS,
IF03-B,RST-B,0,0,0,0,0x5151A5A5,0x5151A5A5,CPU,,err=1 peek=0x5151A5A5 model=RST-B,SIMULATION_EVIDENCE,PASS,
IF03-C,RST-B,0,0,0,0,0x5151A5A5,0x5151A5A5,CPU,,err= peek=0x5151A5A5 model=RST-B;ic_down,SIMULATION_EVIDENCE,PASS,
IF03-D,RST-B,0,0,0,103,0x5151A5A5,0x5151A5A5,CPU,,err= peek=0x5151A5A5 model=RST-B;sec_reset_after_pmp,SIMULATION_EVIDENCE,PASS,
STALE-01,RST-B,8,29,44,34,0x5151A5A5,0x11111111,DMA,,stale_post_err=1;no_stale_allow,SIMULATION_EVIDENCE,PASS,
