seed,priv,cpu_w,dma_w,rid,length,addr,mem_before,mem_after,result
48,1,0,1,0x2,0,0x20000018,0x0,0x0,FAIL
52,1,0,1,0x2,8,0x20000034,0x0,0x0,FAIL
63,1,1,1,0x2,8,0x2000003c,0x0,0xcafebabe,FAIL
79,0,1,1,0x2,4,0x2000001c,0x0,0x0,FAIL
88,1,0,1,0x2,1,0x20000040,0x0,0x0,FAIL
96,1,1,1,0x2,1,0x20000028,0x0,0xcafebabe,FAIL
107,0,1,1,0x2,4,0x20000034,0x0,0x0,FAIL
108,0,0,1,0x2,16,0x20000018,0xcafebabe,0xcafebabe,FAIL
112,1,1,1,0x2,4,0x2000002c,0x0,0xcafebabe,FAIL
121,0,0,1,0x2,4,0x20000040,0x0,0x0,FAIL
138,0,1,1,0x2,8,0x20000018,0xcafebabe,0xcafebabe,FAIL
146,0,0,1,0x2,1,0x20000014,0xcafebabe,0xcafebabe,FAIL
147,0,1,1,0x2,4,0x20000024,0x0,0x0,FAIL
152,1,0,1,0x2,1,0x20000000,0xdeadbeef,0xdeadbeef,FAIL
163,1,0,1,0x2,8,0x20000018,0xcafebabe,0xcafebabe,FAIL
186,1,1,1,0x2,16,0x2000000c,0xcafebabe,0xcafebabe,FAIL
190,0,0,1,0x2,4,0x2000001c,0xcafebabe,0xcafebabe,FAIL
193,1,0,1,0x2,0,0x2000001c,0xcafebabe,0xcafebabe,FAIL
196,0,0,1,0x2,8,0x20000008,0xcafebabe,0xcafebabe,FAIL
199,1,1,1,0x2,8,0x20000000,0xdeadbeef,0xcafebabe,FAIL
206,0,0,1,0x2,4,0x20000010,0xcafebabe,0xcafebabe,FAIL
210,1,0,1,0x2,1,0x20000024,0x0,0x0,FAIL
229,0,0,1,0x2,4,0x20000014,0xcafebabe,0xcafebabe,FAIL
