experiment_id,configuration,dma_authorized,requester_id,operation,address,length,expected,observed,security_property,result,git_commit,seed
M2-BND-B5,PMP+IOPMP,1,0x1,dma_read,0x20000000,4,ALLOW,ALLOW,SP-03,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-BND-B6,PMP+IOPMP,1,0x1,dma_read,0x2000fffc,4,ALLOW,ALLOW,SP-03,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-BND-B7,PMP+IOPMP,1,0x1,dma_write,0x2000fffc,8,DENY,DENY,"SP-04,SP-05",PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-BND-B8,PMP+IOPMP,1,0x1,dma_write,0x1ffffffc,8,DENY,DENY,"SP-04,SP-05",PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-BND-B9-len0,PMP+IOPMP,0,0x2,dma_read,0x20000000,0,DENY,DENY,SP-03,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-BND-B9-len1,PMP+IOPMP,1,0x1,dma_read,0x20000000,1,ALLOW,ALLOW,SP-03,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-BND-B9-near_max,PMP+IOPMP,1,0x1,dma_read,0xfffffffc,8,DENY,DENY,SP-03,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-BND-B9-large_len,PMP+IOPMP,1,0x1,dma_read,0x2000fff0,32,DENY,DENY,SP-03,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-RANGE-ATOMICITY-01,PMP+IOPMP,,,dma_write_cross_boundary,0x2000fffc,8,"DENY,no_partial_write","DENY,partial_write=False",SP-05,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-CON-C1,PMP+IOPMP,1,0x1,cpu_r+dma_r,0x20000000,4,both_complete,"cpu_err=0,dma_err=0,mem=0xdeadbeef",SP-10,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-CON-C2,PMP+IOPMP,1,0x1,cpu_w+dma_r,0x20000000,4,both_complete,"cpu_err=0,dma_err=0,mem=0x11111111",SP-10,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-CON-C3,PMP+IOPMP,1,0x1,cpu_r+dma_w,0x20000000,4,both_complete,"cpu_err=0,dma_err=0,mem=0x22222222",SP-10,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-CON-C4,PMP+IOPMP,1,0x1,cpu_r+dma_w,0x20000000,4,cpu_blocked,"cpu_err=1,dma_err=0,mem=0x33333333",SP-10,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-CON-C5,PMP+IOPMP,1,0x1,cpu_w+dma_r,0x20000000,4,cpu_blocked,"cpu_err=1,dma_err=0,mem=0xdeadbeef",SP-10,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-CON-C6,PMP+IOPMP,0,0x2,cpu_r+dma_r,0x20000000,4,dma_blocked,"cpu_err=0,dma_err=1,mem=0xdeadbeef",SP-10,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-CON-C7,PMP+IOPMP,0,0x2,cpu_r+dma_r,0x20000000,4,both_blocked,"cpu_err=1,dma_err=1,mem=0xdeadbeef",SP-10,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-CON-C8,PMP+IOPMP,1,0x1,cpu_w+dma_w,0x20000000,4,cpu_wins_or_serial,"cpu_err=0,dma_err=0,mem=0x66666666",SP-10,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-CON-C9,PMP+IOPMP,1,0x1,cpu_r+dma_w,0x20000000,4,serial_ok,"cpu_err=0,dma_err=0,mem=0x77777777",SP-10,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-CON-C10,PMP+IOPMP,1,0x1,cpu_w+dma_r,0x20000000,4,serial_ok,"cpu_err=0,dma_err=0,mem=0x88888888",SP-10,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-PT-PT1,PMP+IOPMP,,,,,,DENY,DENY,SP-07,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-PT-PT2,PMP+IOPMP,,,,,,"first_ALLOW,second_DENY","first=ALLOW,second=DENY",SP-07,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-PT-PT3,PMP+IOPMP,,,,,,complete_under_admission_time,complete,"SP-07,SP-09",PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-PT-PT4,PMP+IOPMP,,,,,,ALLOW,ALLOW,SP-07,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-PT-PT5,PMP+IOPMP,,,,,,DENY_then_ALLOW,"first=DENY,second=ALLOW",SP-07,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
M2-RID-RID1,PMP+IOPMP,,0x1,,,,ALLOW,ALLOW,SP-06,PASS,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,directed
