experiment_id,scenario,configuration,reset_default,admission_gate,commit_epoch,initial_state,reset_sequence,expected,observed,property_ids,result,classification,waveform,notes,git_commit
R1,DMA recovers before IOPMP/security configured,C0,fail-open,no,no,post_reset_iopmp_enabled_unconfigured,none,no protected write before secure_ready,blocked,"SP-08,SP-13",PASS,EXPECTED_BY_MODEL,/home/mmr/ricv_paper/results/m4/waveforms/m4_r01_c0_dma_before_iopmp.fst,"dma_error=1; iopmp enabled, rule invalid",297df920dab05466b1fc3fc6711346364cd0c459
R2,IOPMP recovers before DMA,C0,fail-open,no,no,,config_then_dma,authorized DMA succeeds after secure_ready,PASS,SP-14,PASS,EXPECTED_BY_MODEL,,,297df920dab05466b1fc3fc6711346364cd0c459
R3,Security configuration recovers last,C0,fail-open,no,no,,pmp_iopmp_on_rule_delayed,pre-ready blocked; post-ready allowed,pre=blocked;post=ok,"SP-08,SP-13,SP-14",PASS,EXPECTED_BY_MODEL,/home/mmr/ricv_paper/results/m4/waveforms/m4_r03_c0_security_config_last.fst,err_pre=1 err_post=0,297df920dab05466b1fc3fc6711346364cd0c459
R4,DMA recovers last,C0,fail-open,no,no,,secure_ready_then_dma,liveness once secure_ready stable,PASS,SP-14,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R5,CPU-only reset recovery stress,C0,fail-open,no,no,,unprivileged_cpu_then_dma,unauth CPU blocked; DMA unaffected,cpu_blocked=True dma_err=0,"SP-02,SP-14",PASS,,,single global rst_n model; CPU transaction not reset-isolated,297df920dab05466b1fc3fc6711346364cd0c459
R6,DMA-only reset (global rst during DMA),C0,fail-open,no,no,,global_reset_during_pending,pending cleared; no orphan commit,PASS,SP-12,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R7,IOPMP-only reset (iopmp_enable=0),C0,fail-open,no,no,,iopmp_disable,fail-open may bypass; fail-closed denies,VIOLATION,"SP-08,SP-13",FAIL,RESET_ASSUMPTION_DEPENDENCY,,err=0,297df920dab05466b1fc3fc6711346364cd0c459
R8,Security-config-only invalidation,C0,fail-open,no,no,,rule0_valid_clear,protected DMA denied without valid rule,blocked,"SP-11,SP-13",PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R9,Reset during authorized DMA,C0,fail-open,no,no,,reset_mid_transaction_reconfig,no orphan unauthorized commit,PASS,SP-12,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R10,Reset during denied DMA,C0,fail-open,no,no,,deny_then_reset,denied cannot become accepted via reset,PASS,"SP-11,SP-13",PASS,,,err_pre=1 err_post=1,297df920dab05466b1fc3fc6711346364cd0c459
