NSAID,derived_RRID,READ_result,WRITE_result,RRESP,BRESP,read_forwarded,write_forwarded,memory_modified,classification
0,0,ALLOW,ALLOW,0,0,1,1,1, SYMMETRIC
1,1,DENY,DENY,2,2,0,0,0, SYMMETRIC
2,2,ALLOW,ALLOW,0,0,1,1,1, SYMMETRIC
3,3,DENY,DENY,2,2,0,0,0, SYMMETRIC
4,4,DENY,DENY,2,2,0,0,0, SYMMETRIC
5,5,DENY,DENY,2,2,0,0,0, SYMMETRIC
6,6,DENY,DENY,2,2,0,0,0, SYMMETRIC
7,7,DENY,DENY,2,2,0,0,0, SYMMETRIC
8,8,DENY,DENY,2,2,0,0,0, SYMMETRIC
9,9,DENY,DENY,2,2,0,0,0, SYMMETRIC
10,10,DENY,DENY,2,2,0,0,0, SYMMETRIC
11,11,DENY,DENY,2,2,0,0,0, SYMMETRIC
12,12,DENY,DENY,2,2,0,0,0, SYMMETRIC
13,13,DENY,DENY,2,2,0,0,0, SYMMETRIC
14,14,DENY,DENY,2,2,0,0,0, SYMMETRIC
15,15,DENY,DENY,2,2,0,0,0, SYMMETRIC
