configuration,auth_case,ordering,delay,aw_delay,w_delay,observed,dst_aw,dst_w,memory_changed,deadlock,allow_captured,bresp,git_commit,notes
proper,auth,AW-before-W,0,0,0,ALLOW,1,1,1,0,1,OKAY,ff46d11,delay=0
proper,auth,W-before-AW,0,0,0,ALLOW,1,1,1,0,1,OKAY,ff46d11,delay=0
proper,auth,same-cycle,0,0,0,ALLOW,1,1,1,0,1,OKAY,ff46d11,delay=0
proper,auth,AW-before-W,1,0,1,ALLOW,1,1,1,0,1,OKAY,ff46d11,delay=1
proper,auth,W-before-AW,1,1,0,ALLOW,1,1,1,0,1,OKAY,ff46d11,delay=1
proper,auth,same-cycle,1,0,0,ALLOW,1,1,1,0,1,OKAY,ff46d11,delay=1
proper,auth,AW-before-W,2,0,2,ALLOW,1,1,1,0,1,OKAY,ff46d11,delay=2
proper,auth,W-before-AW,2,2,0,ALLOW,1,1,1,0,1,OKAY,ff46d11,delay=2
proper,auth,same-cycle,2,0,0,ALLOW,1,1,1,0,1,OKAY,ff46d11,delay=2
proper,auth,AW-before-W,4,0,4,ALLOW,1,1,1,0,1,OKAY,ff46d11,delay=4
proper,auth,W-before-AW,4,4,0,ALLOW,1,1,1,0,1,OKAY,ff46d11,delay=4
proper,auth,same-cycle,4,0,0,ALLOW,1,1,1,0,1,OKAY,ff46d11,delay=4
proper,auth,AW-before-W,8,0,8,DEADLOCK,1,0,0,1,1,OKAY,ff46d11,delay=8
proper,auth,W-before-AW,8,8,0,ALLOW,1,1,1,0,1,OKAY,ff46d11,delay=8
proper,auth,same-cycle,8,0,0,ALLOW,1,1,1,0,1,OKAY,ff46d11,delay=8
proper,deny,AW-before-W,0,0,0,DENY,0,0,0,0,0,SLVERR,ff46d11,delay=0
proper,deny,W-before-AW,0,0,0,DENY,0,0,0,0,0,SLVERR,ff46d11,delay=0
proper,deny,same-cycle,0,0,0,DENY,0,0,0,0,0,SLVERR,ff46d11,delay=0
proper,deny,AW-before-W,1,0,1,DENY,0,0,0,0,0,SLVERR,ff46d11,delay=1
proper,deny,W-before-AW,1,1,0,DENY,0,0,0,0,0,SLVERR,ff46d11,delay=1
proper,deny,same-cycle,1,0,0,DENY,0,0,0,0,0,SLVERR,ff46d11,delay=1
proper,deny,AW-before-W,2,0,2,DENY,0,0,0,0,0,SLVERR,ff46d11,delay=2
proper,deny,W-before-AW,2,2,0,DENY,0,0,0,0,0,SLVERR,ff46d11,delay=2
proper,deny,same-cycle,2,0,0,DENY,0,0,0,0,0,SLVERR,ff46d11,delay=2
proper,deny,AW-before-W,4,0,4,DENY,0,0,0,0,0,SLVERR,ff46d11,delay=4
proper,deny,W-before-AW,4,4,0,DENY,0,0,0,0,0,SLVERR,ff46d11,delay=4
proper,deny,same-cycle,4,0,0,DENY,0,0,0,0,0,SLVERR,ff46d11,delay=4
proper,deny,AW-before-W,8,0,8,DEADLOCK,0,0,0,1,0,OKAY,ff46d11,delay=8
proper,deny,W-before-AW,8,8,0,DENY,0,0,0,0,0,SLVERR,ff46d11,delay=8
proper,deny,same-cycle,8,0,0,DENY,0,0,0,0,0,SLVERR,ff46d11,delay=8
