variant,period_ns,flow_variant,notes,path_group,slack_ns,data_arrival_ns,data_required_ns,startpoint,endpoint,critical_path_category,through_pmp,through_iopmp,through_dma,through_reset_sec,through_alu_adder,ff_q_delay_ns,hierarchy_hint,cell_types,report
J0,20.0,d3_p20p0,common 20ns,vclk_core_clock,4.53,12.56,17.09,u.u_ibex.u_ibex_core.if_stage_i.instr_rdata_alu_id_o[21]$_DFFE_PP_,instr_addr_o[31] (output port clocked by vclk_core_clock),core_alu_to_observation_port,False,False,False,False,True,N/A,u_ibex.u_ibex_core if_stage_i instr_addr_o alu_adder_result_ex,"sky130_fd_sc_hd__clkbuf_16,sky130_fd_sc_hd__and2_0,sky130_fd_sc_hd__edfxtp_1,sky130_fd_sc_hd__buf_4,sky130_fd_sc_hd__buf_12,sky130_fd_sc_hd__and4b_1,sky130_fd_sc_hd__a221oi_1,sky130_fd_sc_hd__o211ai_1,sky130_fd_sc_hd__o22ai_1,sky130_fd_sc_hd__nor2_1,sky130_fd_sc_hd__a21oi_2,sky130_fd_sc_hd__a2111oi_0,sky130_fd_sc_hd__a211o_1,sky130_fd_sc_hd__xor3_1,sky130_fd_sc_hd__a211oi_1",third_party/OpenROAD-flow-scripts/flow/reports/sky130hd/m7_j0/d3_p20p0/6_finish.rpt
J1,20.0,d3_p20p0,common 20ns,vclk_core_clock,2.13,14.97,17.09,u.u_ibex.u_ibex_core.if_stage_i.instr_rdata_alu_id_o[6]$_DFFE_PP_,data_req_o (output port clocked by vclk_core_clock),core_alu_to_observation_port,False,False,False,False,True,N/A,u_ibex.u_ibex_core if_stage_i data_req_o alu_adder_result_ex,"sky130_fd_sc_hd__clkbuf_16,sky130_fd_sc_hd__and2_0,sky130_fd_sc_hd__edfxtp_1,sky130_fd_sc_hd__nor2b_1,sky130_fd_sc_hd__nand3_1,sky130_fd_sc_hd__nor3_1,sky130_fd_sc_hd__o31ai_1,sky130_fd_sc_hd__or3b_1,sky130_fd_sc_hd__a31oi_2,sky130_fd_sc_hd__buf_4,sky130_fd_sc_hd__clkinv_1,sky130_fd_sc_hd__o221ai_1,sky130_fd_sc_hd__xor3_1,sky130_fd_sc_hd__o211ai_1,sky130_fd_sc_hd__nand2_1",third_party/OpenROAD-flow-scripts/flow/reports/sky130hd/m7_j1/d3_p20p0/6_finish.rpt
J2,20.0,d3_p20p0,common 20ns,vclk_core_clock,0.47,16.62,17.09,u.u_ibex.u_ibex_core.if_stage_i.instr_rdata_alu_id_o[5]$_DFFE_PP_,data_req_o (output port clocked by vclk_core_clock),core_alu_to_observation_port,False,False,False,False,True,N/A,u_ibex.u_ibex_core if_stage_i data_req_o alu_adder_result_ex,"sky130_fd_sc_hd__clkbuf_16,sky130_fd_sc_hd__and2_0,sky130_fd_sc_hd__edfxtp_1,sky130_fd_sc_hd__clkinv_1,sky130_fd_sc_hd__nor3_1,sky130_fd_sc_hd__nand3_1,sky130_fd_sc_hd__and3_1,sky130_fd_sc_hd__a31o_1,sky130_fd_sc_hd__a211o_1,sky130_fd_sc_hd__nor2_1,sky130_fd_sc_hd__o221ai_1,sky130_fd_sc_hd__xor3_1,sky130_fd_sc_hd__o211ai_1,sky130_fd_sc_hd__a31oi_1,sky130_fd_sc_hd__a221oi_1",third_party/OpenROAD-flow-scripts/flow/reports/sky130hd/m7_j2/d3_p20p0/6_finish.rpt
J3,20.0,d3_p20p0,common 20ns,vclk_core_clock,2.29,14.81,17.09,u.u_ibex.u_ibex_core.if_stage_i.instr_rdata_alu_id_o[31]$_DFFE_PP_,data_req_o (output port clocked by vclk_core_clock),core_alu_to_observation_port,False,False,False,False,True,N/A,u_ibex.u_ibex_core if_stage_i data_req_o alu_adder_result_ex,"sky130_fd_sc_hd__clkbuf_16,sky130_fd_sc_hd__and2_0,sky130_fd_sc_hd__edfxtp_1,sky130_fd_sc_hd__or4_1,sky130_fd_sc_hd__nor2_1,sky130_fd_sc_hd__nand2_1,sky130_fd_sc_hd__o311ai_0,sky130_fd_sc_hd__nand3_2,sky130_fd_sc_hd__buf_4,sky130_fd_sc_hd__clkinv_1,sky130_fd_sc_hd__o221ai_1,sky130_fd_sc_hd__xnor3_1,sky130_fd_sc_hd__or2_0,sky130_fd_sc_hd__a211oi_1,sky130_fd_sc_hd__o31ai_1",third_party/OpenROAD-flow-scripts/flow/reports/sky130hd/m7_j3/d3_p20p0/6_finish.rpt
J0,9.5,p9p5,near Fmax PASS,core_clock,0.1,10.63,10.74,u.u_ibex.u_ibex_core.if_stage_i.instr_rdata_alu_id_o[16]$_DFFE_PP_,u.u_ibex.gen_regfile_ff.register_file_i.g_rf_flops[12].rf_reg_q[11]$_DFFE_PN0P_,core_reg2reg,False,False,False,False,False,N/A,u_ibex.u_ibex_core if_stage_i u_ibex.gen_regfile_ff,"sky130_fd_sc_hd__clkbuf_16,sky130_fd_sc_hd__and2_0,sky130_fd_sc_hd__edfxtp_1,sky130_fd_sc_hd__buf_4,sky130_fd_sc_hd__buf_12,sky130_fd_sc_hd__buf_16,sky130_fd_sc_hd__mux2_1,sky130_fd_sc_hd__a221oi_2,sky130_fd_sc_hd__nor3_2,sky130_fd_sc_hd__a21oi_2,sky130_fd_sc_hd__nand2b_4,sky130_fd_sc_hd__nor2_1,sky130_fd_sc_hd__maj3_1,sky130_fd_sc_hd__xor2_1,sky130_fd_sc_hd__xnor2_1",third_party/OpenROAD-flow-scripts/flow/reports/sky130hd/m7_j0/p9p5/6_finish.rpt
J1,20.0,p20p0,near Fmax PASS (D.2),vclk_core_clock,2.13,14.97,17.09,u.u_ibex.u_ibex_core.if_stage_i.instr_rdata_alu_id_o[6]$_DFFE_PP_,data_req_o (output port clocked by vclk_core_clock),core_alu_to_observation_port,False,False,False,False,True,N/A,u_ibex.u_ibex_core if_stage_i data_req_o alu_adder_result_ex,"sky130_fd_sc_hd__clkbuf_16,sky130_fd_sc_hd__and2_0,sky130_fd_sc_hd__edfxtp_1,sky130_fd_sc_hd__nor2b_1,sky130_fd_sc_hd__nand3_1,sky130_fd_sc_hd__nor3_1,sky130_fd_sc_hd__o31ai_1,sky130_fd_sc_hd__or3b_1,sky130_fd_sc_hd__a31oi_2,sky130_fd_sc_hd__buf_4,sky130_fd_sc_hd__clkinv_1,sky130_fd_sc_hd__o221ai_1,sky130_fd_sc_hd__xor3_1,sky130_fd_sc_hd__o211ai_1,sky130_fd_sc_hd__nand2_1",third_party/OpenROAD-flow-scripts/flow/reports/sky130hd/m7_j1/p20p0/6_finish.rpt
J1,16.0,p16p0,near Fmax FAIL,vclk_core_clock,-0.14,14.03,13.89,u.u_ibex.u_ibex_core.if_stage_i.instr_rdata_alu_id_o[18]$_DFFE_PP_,data_req_o (output port clocked by vclk_core_clock),core_alu_to_observation_port,False,False,False,False,True,N/A,u_ibex.u_ibex_core if_stage_i data_req_o alu_adder_result_ex,"sky130_fd_sc_hd__clkbuf_16,sky130_fd_sc_hd__and2_0,sky130_fd_sc_hd__edfxtp_1,sky130_fd_sc_hd__or2_1,sky130_fd_sc_hd__buf_4,sky130_fd_sc_hd__o21ai_0,sky130_fd_sc_hd__a21oi_1,sky130_fd_sc_hd__o21a_1,sky130_fd_sc_hd__xor2_1,sky130_fd_sc_hd__xnor2_1,sky130_fd_sc_hd__a21o_1,sky130_fd_sc_hd__xor2_4,sky130_fd_sc_hd__nor2_1,sky130_fd_sc_hd__or4_1,sky130_fd_sc_hd__nor4_1",third_party/OpenROAD-flow-scripts/flow/reports/sky130hd/m7_j1/p16p0/6_finish.rpt
J2,12.75,p12p75,near Fmax PASS,vclk_core_clock,0.09,11.21,11.29,u.u_ibex.u_ibex_core.if_stage_i.instr_rdata_alu_id_o[18]$_DFFE_PP_,data_req_o (output port clocked by vclk_core_clock),core_alu_to_observation_port,False,False,False,False,True,N/A,u_ibex.u_ibex_core if_stage_i data_req_o alu_adder_result_ex,"sky130_fd_sc_hd__clkbuf_16,sky130_fd_sc_hd__and2_0,sky130_fd_sc_hd__edfxtp_1,sky130_fd_sc_hd__buf_12,sky130_fd_sc_hd__nor2b_2,sky130_fd_sc_hd__a22oi_1,sky130_fd_sc_hd__o21ai_0,sky130_fd_sc_hd__nand2_1,sky130_fd_sc_hd__nand4_1,sky130_fd_sc_hd__buf_4,sky130_fd_sc_hd__a21oi_1,sky130_fd_sc_hd__xor2_1,sky130_fd_sc_hd__xnor2_1,sky130_fd_sc_hd__nor4_1,sky130_fd_sc_hd__a221oi_4",third_party/OpenROAD-flow-scripts/flow/reports/sky130hd/m7_j2/p12p75/6_finish.rpt
J3,13.0,p13p0,near Fmax PASS,vclk_core_clock,0.07,11.43,11.49,u.u_ibex.u_ibex_core.if_stage_i.instr_rdata_alu_id_o[16]$_DFFE_PP_,data_req_o (output port clocked by vclk_core_clock),core_alu_to_observation_port,False,False,False,False,True,N/A,u_ibex.u_ibex_core if_stage_i data_req_o alu_adder_result_ex,"sky130_fd_sc_hd__clkbuf_16,sky130_fd_sc_hd__and2_0,sky130_fd_sc_hd__edfxtp_1,sky130_fd_sc_hd__buf_12,sky130_fd_sc_hd__buf_4,sky130_fd_sc_hd__mux2i_1,sky130_fd_sc_hd__a22oi_1,sky130_fd_sc_hd__nand3_1,sky130_fd_sc_hd__a21oi_1,sky130_fd_sc_hd__a2bb2oi_2,sky130_fd_sc_hd__xor3_1,sky130_fd_sc_hd__nand4_1,sky130_fd_sc_hd__nor3_1,sky130_fd_sc_hd__o21ai_0,sky130_fd_sc_hd__a31oi_1",third_party/OpenROAD-flow-scripts/flow/reports/sky130hd/m7_j3/p13p0/6_finish.rpt
J1,16.5,d3_j1_p16p5,near Fmax PASS (refined),vclk_core_clock,0.07,14.23,N/A,u.u_ibex.u_ibex_core.if_stage_i.instr_rdata_alu_id_o[16]$_DFFE_PP_,data_req_o (output port clocked by vclk_core_clock),core_alu_to_observation_port,False,False,False,False,True,N/A,if_stage alu_adder data_req_o,,third_party/OpenROAD-flow-scripts/flow/reports/sky130hd/m7_j1/d3_j1_p16p5/6_finish.rpt
