variant,period_ns,setup_wns_ns,setup_tns_ns,hold_wns_ns,hold_tns_ns,route_result,route_drc,gds,timing_pass,result,notes
J0,9.0,-0.0986811,-2.03777,0.427229,0,PASS,0,YES,FAIL,FAIL,9ns tighten; GDS but setup fail
J0,9.5,0.102833,0,0.418816,0,PASS,0,YES,PASS,PASS,tighten; shortest known PASS for J0
J0,10.0,0.0818838,0,0.41121,0,PASS,0,YES,PASS,PASS,primary common-target run; demonstrates >=100 MHz not Fmax=100
J1,10.0,N/A,N/A,N/A,N/A,GRT_FAIL,N/A,NO,N/A,FAIL,GRT-0232 congestion; CTS WNS=-1.28489 ns
J1,15.0,N/A,N/A,N/A,N/A,GRT_FAIL,N/A,NO,N/A,FAIL,CTS WNS=+0.210 ns but GRT-0232 congestion; period loosening alone does not clear congestion
J1,16.0,-0.137862,-0.137862,0.434409,0,PASS,0,YES,FAIL,FAIL,GDS DRC0 but setup fail; between 15 GRT-fail and 20 PASS
J1,16.5,0.0653468,0,0.348799,0,PASS,0,YES,PASS,PASS,"D.3 refine; shortest demonstrated PASS for J1 (16.0 FAIL, 16.5 PASS)"
J1,17.0,0.116481,0,0.414333,0,PASS,0,YES,PASS,PASS,D.3 refine; PASS near edge (WNS~0.12)
J1,18.0,1.25182,0,0.419335,0,PASS,0,YES,PASS,PASS,D.3 refine; PASS with margin; between prior 16 FAIL and 20 PASS
J1,20.0,2.12892,0,0.415852,0,PASS,0,YES,PASS,PASS,first full post-route PASS for J1; 10/15 GRT failed
J2,10.0,-1.27845,-24.6504,0.2985,0,PASS,0,YES,FAIL,FAIL,GDS exists; 10 ns setup does not close
J2,12.5,-0.000741629,-0.000741629,0.401286,0,PASS,0,YES,FAIL,FAIL,near-miss WNS~0
J2,12.75,0.0851887,0,0.355178,0,PASS,0,YES,PASS,PASS,shortest known full post-route PASS for J2
J2,13.0,-0.112863,-0.212678,0.361085,0,PASS,0,YES,FAIL,FAIL,FAIL after remake; worse than 12.5
J2,14.0,0.00473666,0,0.349324,0,PASS,0,YES,PASS,PASS,clear PASS
J3,10.0,N/A,N/A,N/A,N/A,GRT_FAIL,N/A,NO,N/A,FAIL,GRT-0116 congestion; CTS WNS=-1.75427 ns
J3,13.0,0.0673328,0,0.163255,0,PASS,0,YES,PASS,PASS,tighten; shortest known PASS for J3
J3,15.0,0.118358,0,0.18016,0,PASS,0,YES,PASS,PASS,first full post-route PASS for J3; 10ns GRT failed
