comparison,metric,baseline,variant,raw_delta,pct_delta,notes
J1_vs_J0,synth_cells,15267,25220,9953.0,65.19,architectural PMP (unchanged D.3)
J1_vs_J0,postroute_stdcell_area_um2,157366,241200,83834.0,53.27,architectural PMP (unchanged D.3)
J1_vs_J0,core_area_um2,271002,416927,145925.0,53.85,architectural PMP (unchanged D.3)
J1_vs_J0,buffer_count,690,1232,542.0,78.55,architectural PMP (unchanged D.3)
J1_vs_J0,wirelength,659360,1220671,561311.0,85.13,architectural PMP (unchanged D.3)
J2_vs_J1,synth_cells,25220,28002,2782.0,11.03,DMA/IOPMP composition final_dd7fe6
J2_vs_J1,postroute_stdcell_area_um2,241200,277641,36441.0,15.11,DMA/IOPMP composition final_dd7fe6
J2_vs_J1,core_area_um2,416927,479567,62640.0,15.02,DMA/IOPMP composition final_dd7fe6
J2_vs_J1,buffer_count,1232,1481,249.0,20.21,DMA/IOPMP composition final_dd7fe6
J2_vs_J1,wirelength,1220671,1353590,132919.0,10.89,DMA/IOPMP composition final_dd7fe6
J3_vs_J2,synth_cells,28002,28258,256.0,0.91,fail-closed RST-B + domain reset final_dd7fe6
J3_vs_J2,postroute_stdcell_area_um2,277641,280331,2690.0,0.97,headline J3 vs J2 +0.97%
J3_vs_J2,core_area_um2,479567,483051,3484.0,0.73,fail-closed RST-B + domain reset final_dd7fe6
J3_vs_J2,buffer_count,1481,1464,-17.0,-1.15,fail-closed RST-B + domain reset final_dd7fe6
J3_vs_J2,wirelength,1353590,1335511,-18079.0,-1.34,fail-closed RST-B + domain reset final_dd7fe6
J3_vs_J0,synth_cells,15267,28258,12991.0,85.09,complete evaluated security composition final_dd7fe6
J3_vs_J0,postroute_stdcell_area_um2,157366,280331,122965.0,78.14,complete evaluated security composition final_dd7fe6
J3_vs_J0,core_area_um2,271002,483051,212049.0,78.25,complete evaluated security composition final_dd7fe6
J3_vs_J0,buffer_count,690,1464,774.0,112.17,complete evaluated security composition final_dd7fe6
J3_vs_J0,wirelength,659360,1335511,676151.0,102.55,complete evaluated security composition final_dd7fe6
