test_id,reset_model,target_delay,admit_cycle,commit_cycle,reset_cycle,memory_before,memory_after,commit_source,cpu_mcause,observed,classification,result,notes
IF01-A,RST-B,8,29,44,28,0x5151A5A5,0x11111111,DMA,,admit=29 commit_auth=44 rst=29 peek=0x11111111 n_auth_commits=1 n_admit=1 n_arb_gnt=1 n_delay_dma=1 n_sram_dma=1 n_dup_write=0 n_orphan=0 sb_fail=0;single_admit_single_independent_sram_write,SIMULATION_EVIDENCE,PASS,final independent ledger: 1 DMA admit / 1 ARB_DMA_GNT cyc32 / 1 SRAM_WRITE DMA cyc43 / RES=0x600d00c1 / DUPLICATE=0; IOPMP dd7fe6 arbiter 20477634; monitor uses actual target write
IF01-B,RST-B,8,29,44,30,0x5151A5A5,0x11111111,DMA,,admit=29 commit_auth=44 rst=31 peek=0x11111111 n_auth_commits=1 n_admit=1 n_arb_gnt=1 n_delay_dma=1 n_sram_dma=1 n_dup_write=0 n_orphan=0 sb_fail=0;ModelA_completes_after_reset,SIMULATION_EVIDENCE,PASS,
IF01-C,RST-B,8,29,44,34,0x5151A5A5,0x11111111,DMA,,admit=29 commit_auth=44 rst=35 peek=0x11111111 n_auth_commits=1 n_admit=1 n_arb_gnt=1 n_delay_dma=1 n_sram_dma=1 n_dup_write=0 n_orphan=0 sb_fail=0;ModelA_completes_after_reset,SIMULATION_EVIDENCE,PASS,
IF01-D,RST-B,8,29,0,30,0x5151A5A5,0x5151A5A5,CPU,,admit=29 commit_auth=0 rst=30 peek=0x5151A5A5 n_auth_commits=0 n_admit=1 n_arb_gnt=0 n_delay_dma=0 n_sram_dma=0 n_dup_write=0 n_orphan=0 sb_fail=0;no_auth_commit_after_reset,SIMULATION_EVIDENCE,PASS,
IF02-A,RST-B,8,0,135,122,0x5151A5A5,0xB0040004,CPU,,auth_cpu_commits=1 before_rst=0 after_rst=1 rst=123 peek=0xB0040004 sb_fail=0;TXN_ID=1 seed 0x5151a5a5 cyc18; LEDGER_CPU_EPOCH epoch=1 cyc123; TXN_ID=2 0xb0040004 cyc134; reset-epoch aware TXN_ID,SIMULATION_EVIDENCE,PASS,cleanup monitor-only fix; historical SCOREBOARD_FAIL preserved under results/ieee_access_final/historical/
IF02-B,RST-B,8,0,135,125,0x5151A5A5,0xB0040004,CPU,,auth_cpu_commits=1 before_rst=0 after_rst=1 rst=126 peek=0xB0040004;ModelA_or_safe,SIMULATION_EVIDENCE,PASS,
IF02-C,RST-B,8,0,135,136,0x5151A5A5,0xB0040004,CPU,,auth_cpu_commits=1 before_rst=1 after_rst=0 rst=137 peek=0xB0040004;ModelA_or_safe,SIMULATION_EVIDENCE,PASS,
IF03-A,RST-A,0,106,111,0,0x5151A5A5,0xDADA0120,DMA,,err=0 peek=0xDADA0120 model=RST-A,RESET_ASSUMPTION_DEPENDENCY,PASS,
IF03-A,RST-B,0,0,0,0,0x5151A5A5,0x5151A5A5,CPU,,err=1 peek=0x5151A5A5 model=RST-B,SIMULATION_EVIDENCE,PASS,
IF03-B,RST-B,0,0,0,0,0x5151A5A5,0x5151A5A5,CPU,,err=1 peek=0x5151A5A5 model=RST-B,SIMULATION_EVIDENCE,PASS,
IF03-C,RST-B,0,0,0,0,0x5151A5A5,0x5151A5A5,CPU,,err=NOT_ISSUED peek=0x5151A5A5 model=RST-B;ic_down,SIMULATION_EVIDENCE,PASS,cleanup reporting; historical empty err= preserved
IF03-D,RST-B,0,0,0,103,0x5151A5A5,0x5151A5A5,CPU,,err=0 peek=0x5151A5A5 model=RST-B;sec_reset_after_pmp,SIMULATION_EVIDENCE,PASS,cleanup reporting; historical empty err= preserved
STALE-01,RST-B,8,29,44,34,0x5151A5A5,0x11111111,DMA,,stale_post_err=1;no_stale_allow,SIMULATION_EVIDENCE,PASS,
