test_id,reset_model,metric,cycles
ORD-A,RST-A,epoch_to_cpu_release,25
ORD-A,RST-A,epoch_to_dma_release,30
ORD-A,RST-A,epoch_to_iopmp_release,10
ORD-A,RST-A,epoch_to_sec_release,12
ORD-A,RST-A,epoch_to_ic_release,15
ORD-A,RST-A,iopmp_release_to_iopmp_ready,39
ORD-A,RST-A,last_security_milestone_to_secure_ready,37
ORD-A,RST-A,epoch_start_to_secure_ready,49
ORD-A,RST-A,secure_ready_to_auth_dma_req,10
ORD-A,RST-B,epoch_to_cpu_release,25
ORD-A,RST-B,epoch_to_dma_release,30
ORD-A,RST-B,epoch_to_iopmp_release,10
ORD-A,RST-B,epoch_to_sec_release,12
ORD-A,RST-B,epoch_to_ic_release,15
ORD-A,RST-B,iopmp_release_to_iopmp_ready,32
ORD-A,RST-B,last_security_milestone_to_secure_ready,30
ORD-A,RST-B,epoch_start_to_secure_ready,42
ORD-A,RST-B,secure_ready_to_auth_dma_req,10
ORD-A,RST-B,secure_ready_to_auth_commit,18
ORD-B,RST-A,epoch_to_cpu_release,10
ORD-B,RST-A,epoch_to_dma_release,30
ORD-B,RST-A,epoch_to_iopmp_release,15
ORD-B,RST-A,epoch_to_sec_release,18
ORD-B,RST-A,epoch_to_ic_release,22
ORD-B,RST-A,iopmp_release_to_iopmp_ready,34
ORD-B,RST-A,last_security_milestone_to_secure_ready,31
ORD-B,RST-A,epoch_start_to_secure_ready,49
ORD-B,RST-A,secure_ready_to_auth_dma_req,10
ORD-B,RST-B,epoch_to_cpu_release,10
ORD-B,RST-B,epoch_to_dma_release,30
ORD-B,RST-B,epoch_to_iopmp_release,15
ORD-B,RST-B,epoch_to_sec_release,18
ORD-B,RST-B,epoch_to_ic_release,22
ORD-B,RST-B,iopmp_release_to_iopmp_ready,27
ORD-B,RST-B,last_security_milestone_to_secure_ready,24
ORD-B,RST-B,epoch_start_to_secure_ready,42
ORD-B,RST-B,secure_ready_to_auth_dma_req,10
ORD-B,RST-B,secure_ready_to_auth_commit,18
ORD-C,RST-A,epoch_to_cpu_release,20
ORD-C,RST-A,epoch_to_dma_release,10
ORD-C,RST-A,epoch_to_iopmp_release,25
ORD-C,RST-A,epoch_to_sec_release,28
ORD-C,RST-A,epoch_to_ic_release,32
ORD-C,RST-A,iopmp_release_to_iopmp_ready,26
ORD-C,RST-A,last_security_milestone_to_secure_ready,23
ORD-C,RST-A,epoch_start_to_secure_ready,51
ORD-C,RST-A,secure_ready_to_auth_dma_req,10
ORD-C,RST-B,epoch_to_cpu_release,20
ORD-C,RST-B,epoch_to_dma_release,10
ORD-C,RST-B,epoch_to_iopmp_release,25
ORD-C,RST-B,epoch_to_sec_release,28
ORD-C,RST-B,epoch_to_ic_release,32
ORD-C,RST-B,iopmp_release_to_iopmp_ready,19
ORD-C,RST-B,last_security_milestone_to_secure_ready,16
ORD-C,RST-B,epoch_start_to_secure_ready,44
ORD-C,RST-B,secure_ready_to_auth_dma_req,10
ORD-C,RST-B,secure_ready_to_auth_commit,18
ORD-D,RST-A,epoch_to_cpu_release,30
ORD-D,RST-A,epoch_to_dma_release,10
ORD-D,RST-A,epoch_to_iopmp_release,15
ORD-D,RST-A,epoch_to_sec_release,18
ORD-D,RST-A,epoch_to_ic_release,22
ORD-D,RST-A,iopmp_release_to_iopmp_ready,34
ORD-D,RST-A,last_security_milestone_to_secure_ready,31
ORD-D,RST-A,epoch_start_to_secure_ready,49
ORD-D,RST-A,secure_ready_to_auth_dma_req,10
ORD-D,RST-B,epoch_to_cpu_release,30
ORD-D,RST-B,epoch_to_dma_release,10
ORD-D,RST-B,epoch_to_iopmp_release,15
ORD-D,RST-B,epoch_to_sec_release,18
ORD-D,RST-B,epoch_to_ic_release,22
ORD-D,RST-B,iopmp_release_to_iopmp_ready,27
ORD-D,RST-B,last_security_milestone_to_secure_ready,24
ORD-D,RST-B,epoch_start_to_secure_ready,42
ORD-D,RST-B,secure_ready_to_auth_dma_req,10
ORD-D,RST-B,secure_ready_to_auth_commit,18
ORD-E,RST-A,epoch_to_cpu_release,15
ORD-E,RST-A,epoch_to_dma_release,15
ORD-E,RST-A,epoch_to_iopmp_release,15
ORD-E,RST-A,epoch_to_sec_release,15
ORD-E,RST-A,epoch_to_ic_release,15
ORD-E,RST-A,iopmp_release_to_iopmp_ready,19
ORD-E,RST-A,last_security_milestone_to_secure_ready,19
ORD-E,RST-A,epoch_start_to_secure_ready,34
ORD-E,RST-A,secure_ready_to_auth_dma_req,10
ORD-E,RST-B,epoch_to_cpu_release,15
ORD-E,RST-B,epoch_to_dma_release,15
ORD-E,RST-B,epoch_to_iopmp_release,15
ORD-E,RST-B,epoch_to_sec_release,15
ORD-E,RST-B,epoch_to_ic_release,15
ORD-E,RST-B,iopmp_release_to_iopmp_ready,12
ORD-E,RST-B,last_security_milestone_to_secure_ready,12
ORD-E,RST-B,epoch_start_to_secure_ready,27
ORD-E,RST-B,secure_ready_to_auth_dma_req,10
ORD-E,RST-B,secure_ready_to_auth_commit,18
ORD-F,RST-A,epoch_to_cpu_release,10
ORD-F,RST-A,epoch_to_dma_release,12
ORD-F,RST-A,epoch_to_iopmp_release,30
ORD-F,RST-A,epoch_to_sec_release,25
ORD-F,RST-A,epoch_to_ic_release,18
ORD-F,RST-A,iopmp_release_to_iopmp_ready,19
ORD-F,RST-A,last_security_milestone_to_secure_ready,24
ORD-F,RST-A,epoch_start_to_secure_ready,49
ORD-F,RST-A,secure_ready_to_auth_dma_req,10
ORD-F,RST-B,epoch_to_cpu_release,10
ORD-F,RST-B,epoch_to_dma_release,12
ORD-F,RST-B,epoch_to_iopmp_release,30
ORD-F,RST-B,epoch_to_sec_release,25
ORD-F,RST-B,epoch_to_ic_release,18
ORD-F,RST-B,iopmp_release_to_iopmp_ready,12
ORD-F,RST-B,last_security_milestone_to_secure_ready,17
ORD-F,RST-B,epoch_start_to_secure_ready,42
ORD-F,RST-B,secure_ready_to_auth_dma_req,10
ORD-F,RST-B,secure_ready_to_auth_commit,18
ORD-G,RST-A,epoch_to_cpu_release,10
ORD-G,RST-A,epoch_to_dma_release,14
