test_id,reset_model,cpu_release_cycle,dma_release_cycle,iopmp_release_cycle,security_config_release_cycle,interconnect_release_cycle,pmp_ready_cycle,iopmp_ready_cycle,secure_ready_cycle,first_dma_legal_issue_cycle,early_dma_request_cycle,early_dma_result,early_dma_commit_cycle,post_ready_unauth_dma_result,post_ready_auth_dma_result,cpu_u_access_result,cpu_mcause,memory_before,memory_after,expected,observed,classification,result,notes
ORD-A,RST-A,132,137,117,119,122,101,156,156,166,166,ALLOW,147,DENY,ALLOW,FAULT,7,0x5151A5A5,0xA11D00C5,RST-A early ALLOW / RST-B early DENY; post unauth DENY auth ALLOW,early_err=0 post_u=1 post_a=0 mcause=7,RESET_ASSUMPTION_DEPENDENCY,PASS,"sched=(25,30,10,12,15)"
ORD-A,RST-B,132,137,117,119,122,101,149,149,159,159,DENY,167,DENY,ALLOW,FAULT,7,0x5151A5A5,0xA11D00C5,RST-A early ALLOW / RST-B early DENY; post unauth DENY auth ALLOW,early_err=1 post_u=1 post_a=0 mcause=7,SIMULATION_EVIDENCE,PASS,"sched=(25,30,10,12,15)"
ORD-B,RST-A,117,137,122,125,129,101,156,156,166,166,ALLOW,147,DENY,ALLOW,FAULT,7,0x5151A5A5,0xA11D00C5,RST-A early ALLOW / RST-B early DENY; post unauth DENY auth ALLOW,early_err=0 post_u=1 post_a=0 mcause=7,RESET_ASSUMPTION_DEPENDENCY,PASS,"sched=(10,30,15,18,22)"
ORD-B,RST-B,117,137,122,125,129,101,149,149,159,159,DENY,167,DENY,ALLOW,FAULT,7,0x5151A5A5,0xA11D00C5,RST-A early ALLOW / RST-B early DENY; post unauth DENY auth ALLOW,early_err=1 post_u=1 post_a=0 mcause=7,SIMULATION_EVIDENCE,PASS,"sched=(10,30,15,18,22)"
ORD-C,RST-A,127,117,132,135,139,101,158,158,168,168,ALLOW,149,DENY,ALLOW,FAULT,7,0x5151A5A5,0xA11D00C5,RST-A early ALLOW / RST-B early DENY; post unauth DENY auth ALLOW,early_err=0 post_u=1 post_a=0 mcause=7,RESET_ASSUMPTION_DEPENDENCY,PASS,"sched=(20,10,25,28,32)"
ORD-C,RST-B,127,117,132,135,139,101,151,151,161,161,DENY,169,DENY,ALLOW,FAULT,7,0x5151A5A5,0xA11D00C5,RST-A early ALLOW / RST-B early DENY; post unauth DENY auth ALLOW,early_err=1 post_u=1 post_a=0 mcause=7,SIMULATION_EVIDENCE,PASS,"sched=(20,10,25,28,32)"
ORD-D,RST-A,137,117,122,125,129,101,156,156,166,166,ALLOW,147,DENY,ALLOW,FAULT,7,0x5151A5A5,0xA11D00C5,RST-A early ALLOW / RST-B early DENY; post unauth DENY auth ALLOW,early_err=0 post_u=1 post_a=0 mcause=7,RESET_ASSUMPTION_DEPENDENCY,PASS,"sched=(30,10,15,18,22)"
ORD-D,RST-B,137,117,122,125,129,101,149,149,159,159,DENY,167,DENY,ALLOW,FAULT,7,0x5151A5A5,0xA11D00C5,RST-A early ALLOW / RST-B early DENY; post unauth DENY auth ALLOW,early_err=1 post_u=1 post_a=0 mcause=7,SIMULATION_EVIDENCE,PASS,"sched=(30,10,15,18,22)"
ORD-E,RST-A,122,122,122,122,122,101,141,141,151,151,ALLOW,132,DENY,ALLOW,FAULT,7,0x5151A5A5,0xA11D00C5,RST-A early ALLOW / RST-B early DENY; post unauth DENY auth ALLOW,early_err=0 post_u=1 post_a=0 mcause=7,RESET_ASSUMPTION_DEPENDENCY,PASS,"sched=(15,15,15,15,15)"
ORD-E,RST-B,122,122,122,122,122,101,134,134,144,144,DENY,152,DENY,ALLOW,FAULT,7,0x5151A5A5,0xA11D00C5,RST-A early ALLOW / RST-B early DENY; post unauth DENY auth ALLOW,early_err=1 post_u=1 post_a=0 mcause=7,SIMULATION_EVIDENCE,PASS,"sched=(15,15,15,15,15)"
