seed,reset_model,cpu_release,dma_release,iopmp_release,sec_release,ic_release,early_dma_result,result,classification,observed,observed_expected_counterexample,unexpected_failure,replay
0,RST-A,8,8,8,8,8,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=8 +REL_DMA=8 +REL_IOPMP=8 +REL_SEC=8 +REL_IC=8 +C5_TEST=200
1,RST-B,29,36,10,17,24,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=29 +REL_DMA=36 +REL_IOPMP=10 +REL_SEC=17 +REL_IC=24 +C5_TEST=200
2,RST-A,17,31,12,26,40,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=17 +REL_DMA=31 +REL_IOPMP=12 +REL_SEC=26 +REL_IC=40 +C5_TEST=200
3,RST-B,38,26,14,35,23,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=38 +REL_DMA=26 +REL_IOPMP=14 +REL_SEC=35 +REL_IC=23 +C5_TEST=200
4,RST-A,26,21,16,11,39,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=26 +REL_DMA=21 +REL_IOPMP=16 +REL_SEC=11 +REL_IC=39 +C5_TEST=200
5,RST-B,14,16,18,20,22,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=14 +REL_DMA=16 +REL_IOPMP=18 +REL_SEC=20 +REL_IC=22 +C5_TEST=200
6,RST-A,35,11,20,29,38,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=35 +REL_DMA=11 +REL_IOPMP=20 +REL_SEC=29 +REL_IC=38 +C5_TEST=200
7,RST-B,23,39,22,38,21,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=23 +REL_DMA=39 +REL_IOPMP=22 +REL_SEC=38 +REL_IC=21 +C5_TEST=200
8,RST-A,11,34,24,14,37,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=11 +REL_DMA=34 +REL_IOPMP=24 +REL_SEC=14 +REL_IC=37 +C5_TEST=200
9,RST-B,32,29,26,23,20,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=32 +REL_DMA=29 +REL_IOPMP=26 +REL_SEC=23 +REL_IC=20 +C5_TEST=200
10,RST-A,20,24,28,32,36,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=20 +REL_DMA=24 +REL_IOPMP=28 +REL_SEC=32 +REL_IC=36 +C5_TEST=200
11,RST-B,8,19,30,8,19,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=8 +REL_DMA=19 +REL_IOPMP=30 +REL_SEC=8 +REL_IC=19 +C5_TEST=200
12,RST-A,29,14,32,17,35,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=29 +REL_DMA=14 +REL_IOPMP=32 +REL_SEC=17 +REL_IC=35 +C5_TEST=200
13,RST-B,17,9,34,26,18,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=17 +REL_DMA=9 +REL_IOPMP=34 +REL_SEC=26 +REL_IC=18 +C5_TEST=200
14,RST-A,38,37,36,35,34,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=38 +REL_DMA=37 +REL_IOPMP=36 +REL_SEC=35 +REL_IC=34 +C5_TEST=200
15,RST-B,26,32,38,11,17,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=26 +REL_DMA=32 +REL_IOPMP=38 +REL_SEC=11 +REL_IC=17 +C5_TEST=200
16,RST-A,14,27,40,20,33,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=14 +REL_DMA=27 +REL_IOPMP=40 +REL_SEC=20 +REL_IC=33 +C5_TEST=200
17,RST-B,35,22,9,29,16,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=35 +REL_DMA=22 +REL_IOPMP=9 +REL_SEC=29 +REL_IC=16 +C5_TEST=200
18,RST-A,23,17,11,38,32,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=23 +REL_DMA=17 +REL_IOPMP=11 +REL_SEC=38 +REL_IC=32 +C5_TEST=200
19,RST-B,11,12,13,14,15,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=11 +REL_DMA=12 +REL_IOPMP=13 +REL_SEC=14 +REL_IC=15 +C5_TEST=200
20,RST-A,32,40,15,23,31,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=32 +REL_DMA=40 +REL_IOPMP=15 +REL_SEC=23 +REL_IC=31 +C5_TEST=200
21,RST-B,20,35,17,32,14,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=20 +REL_DMA=35 +REL_IOPMP=17 +REL_SEC=32 +REL_IC=14 +C5_TEST=200
22,RST-A,8,30,19,8,30,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=8 +REL_DMA=30 +REL_IOPMP=19 +REL_SEC=8 +REL_IC=30 +C5_TEST=200
