test_id,metric,cycles,reset_model
RC-03,iopmp_release_to_iopmp_ready,21,RST-B
RC-04,cpu_release_to_pmp_ready,102,RST-B
RC-05,cpu_release_to_pmp_ready,100,RST-B
RC-06,cpu_release_to_pmp_ready,100,RST-B
RC-07,cpu_release_to_pmp_ready,100,RST-B
RC-07,iopmp_release_to_iopmp_ready,105,RST-B
RC-07,reset_start_to_secure_ready,106,RST-B
RC-07,secure_ready_to_dma_req,1,RST-B
RC-08,cpu_release_to_pmp_ready,100,RST-B
RC-08,iopmp_release_to_iopmp_ready,105,RST-B
RC-08,reset_start_to_secure_ready,106,RST-B
RC-08,secure_ready_to_dma_req,1,RST-B
RC-09,cpu_release_to_pmp_ready,102,RST-B
RC-09,iopmp_release_to_iopmp_ready,107,RST-B
RC-09,reset_start_to_secure_ready,108,RST-B
RC-09,secure_ready_to_dma_req,2,RST-B
RC-10,cpu_release_to_pmp_ready,102,RST-A
RC-11,cpu_release_to_pmp_ready,102,RST-B
RC-12,cpu_release_to_pmp_ready,100,RST-B
RC-12,iopmp_release_to_iopmp_ready,105,RST-B
RC-12,reset_start_to_secure_ready,106,RST-B
RC-12,secure_ready_to_dma_req,1,RST-B
RC-ORD-A,cpu_release_to_pmp_ready,100,RST-B
RC-ORD-A,iopmp_release_to_iopmp_ready,105,RST-B
RC-ORD-A,reset_start_to_secure_ready,106,RST-B
RC-ORD-A,secure_ready_to_dma_req,1,RST-B
RC-ORD-B,cpu_release_to_pmp_ready,100,RST-B
RC-ORD-B,iopmp_release_to_iopmp_ready,105,RST-B
RC-ORD-B,reset_start_to_secure_ready,106,RST-B
RC-ORD-B,secure_ready_to_dma_req,1,RST-B
RC-ORD-C,cpu_release_to_pmp_ready,100,RST-B
RC-ORD-C,iopmp_release_to_iopmp_ready,105,RST-B
RC-ORD-C,reset_start_to_secure_ready,106,RST-B
RC-ORD-C,secure_ready_to_dma_req,1,RST-B
RC-ORD-D,cpu_release_to_pmp_ready,100,RST-B
RC-ORD-D,iopmp_release_to_iopmp_ready,105,RST-B
RC-ORD-D,reset_start_to_secure_ready,106,RST-B
RC-ORD-D,secure_ready_to_dma_req,1,RST-B
RC-ORD-E,cpu_release_to_pmp_ready,100,RST-B
RC-ORD-E,iopmp_release_to_iopmp_ready,105,RST-B
RC-ORD-E,reset_start_to_secure_ready,106,RST-B
RC-ORD-E,secure_ready_to_dma_req,1,RST-B
RC-ORD-F,cpu_release_to_pmp_ready,100,RST-B
RC-ORD-F,iopmp_release_to_iopmp_ready,105,RST-B
RC-ORD-F,reset_start_to_secure_ready,106,RST-B
RC-ORD-F,secure_ready_to_dma_req,1,RST-B
