test_id,reset_model,cpu_reset,dma_reset,iopmp_reset,security_config_reset,memory_retained,cpu_release_cycle,dma_release_cycle,iopmp_release_cycle,pmp_ready_cycle,iopmp_ready_cycle,secure_ready_cycle,dma_request_cycle,dma_requester,cpu_privilege,cpu_operation,cpu_mcause,cpu_mtval,memory_before,memory_after,expected,observed,classification,result,notes,project_commit,ibex_commit
RC-01,RST-A,domain,domain,domain,domain,YES,0,3,2,0,0,0,13,,,,,,0x5151A5A5,0xDADA0001,EARLY_UNAUTH_REACHABLE,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,PASS,fail-open early DMA; exit=0,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b
RC-02,RST-B,domain,domain,domain,domain,YES,0,3,2,0,0,0,13,,,,,,0x5151A5A5,0x5151A5A5,EARLY_UNAUTH_DENY,DENY,SIMULATION_EVIDENCE,PASS,fail-closed early DMA; exit=0,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b
RC-03,RST-B,domain,domain,domain,domain,YES,0,3,2,0,23,0,24,,,,,,0x5151A5A5,0xA11D00C3,EARLY_AUTH_DENY_THEN_ALLOW,early_deny=True post_allow=True mem=0xA11D00C3,SIMULATION_EVIDENCE,PASS,auth before ready then allow; exit=0,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b
RC-04,RST-B,domain,domain,domain,domain,YES,1,3,2,103,0,0,0,,,,,,0x5151A5A5,0xB0040004,CPU_ALLOW,ALLOW,SIMULATION_EVIDENCE,PASS,post-recovery M write; exit=0,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b
RC-05,RST-B,domain,domain,domain,domain,YES,1,3,2,101,0,0,0,,,,7,20000100,0x5151A5A5,0x5151A5A5,CPU_STORE_FAULT,mcause=7,SIMULATION_EVIDENCE,PASS,post-recovery U store mcause=7; exit=0,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b
RC-06,RST-B,domain,domain,domain,domain,YES,1,3,2,101,0,0,0,,,,5,20000100,0x5151A5A5,0x5151A5A5,CPU_LOAD_FAULT,mcause=5,SIMULATION_EVIDENCE,PASS,post-recovery U load mcause=5; exit=0,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b
RC-07,RST-B,domain,domain,domain,domain,YES,1,3,2,101,107,107,108,,,,,,0x5151A5A5,0xD00D00C7,DMA_ALLOW,ALLOW,SIMULATION_EVIDENCE,PASS,post-recovery auth DMA; exit=0,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b
RC-08,RST-B,domain,domain,domain,domain,YES,1,3,2,101,107,107,108,,,,,,0x5151A5A5,0x5151A5A5,DMA_DENY,DENY,SIMULATION_EVIDENCE,PASS,post-recovery unauth DMA; exit=0,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b
RC-09,RST-B,domain,domain,domain,domain,YES,1,3,2,103,109,109,111,,,,,,0x5151A5A5,0x5151A5A5,DMA_DENY,DENY,SIMULATION_EVIDENCE,PASS,CPU reset; IOPMP stays; exit=0,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b
RC-10,RST-A,domain,domain,domain,domain,YES,1,3,111,103,0,0,114,,,,,,0x5151A5A5,0xDADA00AA,EARLY_UNAUTH_REACHABLE,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,PASS,partial IOPMP reset RST-A; exit=0,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b
RC-11,RST-B,domain,domain,domain,domain,YES,1,3,111,103,0,0,114,,,,,,0x5151A5A5,0x5151A5A5,EARLY_UNAUTH_DENY,DENY,SIMULATION_EVIDENCE,PASS,partial IOPMP reset RST-B; exit=0,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b
RC-12,RST-B,domain,domain,domain,domain,YES,1,3,2,101,107,107,108,,,,7,20000100,0x5151A5A5,0xD00D00C7,ATTR_DMA_WINS,mcause=7 mem=0xD00D00C7,SIMULATION_EVIDENCE,PASS,U fault + auth DMA; exit=0,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b
RC-ORD-A,RST-B,domain,domain,domain,domain,YES,1,3,2,101,107,107,108,,,,,,0x5151A5A5,0xA11D00C7,DMA_ALLOW,ALLOW,SIMULATION_EVIDENCE,PASS,CPU->IOPMP->DMA; exit=0,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b
RC-ORD-B,RST-B,domain,domain,domain,domain,YES,1,3,2,101,107,107,108,,,,,,0x5151A5A5,0xA11D00C7,DMA_ALLOW,ALLOW,SIMULATION_EVIDENCE,PASS,IOPMP->CPU->DMA; exit=0,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b
