seq_id,model,configuration,reset_sequence,classification,unsafe_reachable,t_reset_assert,t_secure_ready,t_dma_enable,t_first_dma_accept,protection_init_latency,secure_ready_latency,notes
R1,RST-A,C0,dma_active_before_secure_ready,EXPECTED_BY_MODEL,NO,0,-1,-1,-1,-1,-1,dma_error=1; cfg=C0
R2,RST-A,C0,config_then_dma,EXPECTED_BY_MODEL,NO,0,-1,-1,-1,-1,-1,PASS
R10,RST-A,C0,"staggered_{'iopmp_rst_n': 0, 'dma_rst_n': 1}",RESET_ASSUMPTION_DEPENDENCY,YES,0,1,-1,-1,-1,1,"delays={'iopmp_rst_n': 0, 'dma_rst_n': 1}; dma_err=0"
R11,RST-A,C0,"staggered_{'dma_rst_n': 0, 'iopmp_rst_n': 1}",RESET_ASSUMPTION_DEPENDENCY,YES,0,1,-1,-1,-1,1,"delays={'dma_rst_n': 0, 'iopmp_rst_n': 1}; dma_err=0"
R16-seed0,RST-A,C0,"staggered_{'ic_rst_n': 4, 'iopmp_rst_n': 3, 'sec_rst_n': 3, 'dma_rst_n': 2, 'cpu_rst_n': 3}",RESET_ASSUMPTION_DEPENDENCY,YES,0,15,-1,-1,-1,15,"delays={'ic_rst_n': 4, 'iopmp_rst_n': 3, 'sec_rst_n': 3, 'dma_rst_n': 2, 'cpu_rst_n': 3}; dma_err=0; seed=0; order=['ic_rst_n', 'iopmp_rst_n', 'sec_rst_n', 'dma_rst_n', 'cpu_rst_n']"
R16-seed1,RST-A,C0,"staggered_{'ic_rst_n': 3, 'cpu_rst_n': 3, 'dma_rst_n': 3, 'sec_rst_n': 3, 'iopmp_rst_n': 1}",RESET_ASSUMPTION_DEPENDENCY,YES,0,13,-1,-1,-1,13,"delays={'ic_rst_n': 3, 'cpu_rst_n': 3, 'dma_rst_n': 3, 'sec_rst_n': 3, 'iopmp_rst_n': 1}; dma_err=0; seed=1; order=['ic_rst_n', 'cpu_rst_n', 'dma_rst_n', 'sec_rst_n', 'iopmp_rst_n']"
R16-seed2,RST-A,C0,"staggered_{'ic_rst_n': 1, 'iopmp_rst_n': 2, 'cpu_rst_n': 2, 'dma_rst_n': 4, 'sec_rst_n': 1}",RESET_ASSUMPTION_DEPENDENCY,YES,0,10,-1,-1,-1,10,"delays={'ic_rst_n': 1, 'iopmp_rst_n': 2, 'cpu_rst_n': 2, 'dma_rst_n': 4, 'sec_rst_n': 1}; dma_err=0; seed=2; order=['ic_rst_n', 'iopmp_rst_n', 'cpu_rst_n', 'dma_rst_n', 'sec_rst_n']"
R16-seed3,RST-A,C0,"staggered_{'sec_rst_n': 4, 'ic_rst_n': 0, 'cpu_rst_n': 4, 'dma_rst_n': 0, 'iopmp_rst_n': 3}",RESET_ASSUMPTION_DEPENDENCY,YES,0,11,-1,-1,-1,11,"delays={'sec_rst_n': 4, 'ic_rst_n': 0, 'cpu_rst_n': 4, 'dma_rst_n': 0, 'iopmp_rst_n': 3}; dma_err=0; seed=3; order=['sec_rst_n', 'ic_rst_n', 'cpu_rst_n', 'dma_rst_n', 'iopmp_rst_n']"
R16-seed4,RST-A,C0,"staggered_{'cpu_rst_n': 3, 'dma_rst_n': 1, 'sec_rst_n': 0, 'ic_rst_n': 0, 'iopmp_rst_n': 0}",RESET_ASSUMPTION_DEPENDENCY,YES,0,4,-1,-1,-1,4,"delays={'cpu_rst_n': 3, 'dma_rst_n': 1, 'sec_rst_n': 0, 'ic_rst_n': 0, 'iopmp_rst_n': 0}; dma_err=0; seed=4; order=['cpu_rst_n', 'dma_rst_n', 'sec_rst_n', 'ic_rst_n', 'iopmp_rst_n']"
R16-seed5,RST-A,C0,"staggered_{'sec_rst_n': 4, 'iopmp_rst_n': 0, 'cpu_rst_n': 3, 'ic_rst_n': 1, 'dma_rst_n': 0}",RESET_ASSUMPTION_DEPENDENCY,YES,0,8,-1,-1,-1,8,"delays={'sec_rst_n': 4, 'iopmp_rst_n': 0, 'cpu_rst_n': 3, 'ic_rst_n': 1, 'dma_rst_n': 0}; dma_err=0; seed=5; order=['sec_rst_n', 'iopmp_rst_n', 'cpu_rst_n', 'ic_rst_n', 'dma_rst_n']"
