experiment_id,configuration,cpu_authorized,dma_authorized,requester_id,operation,address,length,policy_transition,reset_sequence,expected,observed,security_property,result,seed,git_commit,notes
A1,PMP-only,0,N/A,N/A,cpu_read,0x20000000,4,,,BLOCKED,BLOCKED,SP-01,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,Untrusted CPU read protected SRAM
A2,PMP-only,0,N/A,N/A,cpu_write,0x20000000,4,,,BLOCKED,BLOCKED,SP-02,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,Untrusted CPU write protected SRAM
A3,PMP-only,N/A,0,0x02,dma_read,0x20000000,4,,,REACHES_MEMORY,REACHES_MEMORY,SP-03-baseline,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,PMP-only system-level coverage limitation
A4,PMP-only,N/A,0,0x02,dma_write,0x20000000,4,,,REACHES_MEMORY,REACHES_MEMORY,SP-04-baseline,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,PMP-only system-level coverage limitation
M1-CPU,PMP+IOPMP,0,N/A,N/A,cpu_read,0x20000000,4,,,BLOCKED,BLOCKED,SP-01,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,M1 untrusted CPU must remain blocked
B2,PMP+IOPMP,N/A,0,0x02,dma_read,0x20000000,4,,,BLOCKED,BLOCKED,SP-03,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,Unauthorized DMA read
B4,PMP+IOPMP,N/A,0,0x02,dma_write,0x20000000,4,,,BLOCKED,BLOCKED,SP-04,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,Unauthorized DMA write; M1 requirement
B1,PMP+IOPMP,N/A,1,0x01,dma_read,0x20000000,4,,,ALLOW,ALLOW,SP-03,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,Authorized DMA read
B3,PMP+IOPMP,N/A,1,0x01,dma_write,0x20000000,4,,,ALLOW,ALLOW,SP-04,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,Authorized DMA write
M2-BND-B5,PMP+IOPMP,,1,0x1,dma_read,0x20000000,4,,,ALLOW,ALLOW,SP-03,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,
